phrase,english,pinyin,color,comments
腿,"legs, thighs",tǔi,green,
照顧,take care of,zhào gù,dark-blue,
公斤,Kilogram,gōng jīn,light-grey,
著急,in a hurry,zhù jí,brown,
瘦,"thin, emaciated, lean; meager",shòu,orange,
斤,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",jīn,black,
際,"border, boundary, juncture",jì,blue,
櫃,"cabinet, cupboard; shop counter",gùi,pink,
轉,"shift, move, turn",zhuǎn,brown,
轉機,Turning point,zhuǎn jī,dark-blue,
櫃颱,counter,gùi tái,cyan,
國際,internationality,guó jì,dark-red,
換錢,Money exchange,huàn qián,blue,
銀行,bank,yín xíng,light-grey,
充電,Charge,chōng diàn,white,
國內,domestic,guó nèi,yellow,
答,"answer, reply; return; assent to",dá,white,
句,sentence,jù,dark-red,
簡,"simple, terse, succinct, a letter",jiǎn,pink,
簡單,Simple,jiǎn dān,white,
句子,sentence,jù zǐ,blue,
回答,answer,húi dá,blue,
詞典,dictionary,cí diǎn,light-grey,
應用,application,yīng yòng,orange,
語法,grammar,yǔ fǎ,grey,
把,"hold, take; guard; regard as",bǎ,light-grey,
燈,"lantern, lamp",dēng,orange,
空調,air conditioner,kōng diào,dark-red,
放,"put, release, free, liberate",fàng,dark-red,
畫,"a painting, picture, drawing; to draw",huà,light-grey,
廚房,kitchen,chú fáng,light-blue,
客廳,living room,kè tīng,white,
廚,kitchen; closet; cupboard,chú,grey,
廳,"hall, central room",tīng,purple,
寒,"cold, wintry, chilly",hán,dark-grey,
暑,hot,shǔ,light-blue,
復,return; repeat; repeatedly,fù,dark-red,
記得,Remember,jì dé,red,
復習,review,fù xí,lime,
數學,math,shù xué,red,
放假,Have a holiday,fàng jiǎ,red,
暑假,summer vacation,shǔ jiǎ,green,
寒假,winter vacation,hán jiǎ,purple,
終於,finally,zhōng yú,dark-blue,
景,"scenery, view; conditions",jǐng,light-grey,
街,"street, road, thoroughfare",jiē,yellow,
地圖,map,dì tú,dark-grey,
拿,"take, hold, grasp; bring; with",ná,white,
出,"go out, send out; stand; produce",chū,dark-red,
街道,street,jiē dào,hot-pink,
紅綠燈,traffic light,hóng lv̀ dēng,yellow,
風景,landscape,fēng jǐng,white,
司機,driver,sī jī,cyan,
接,receive; continue; catch; connect,jiē,blue,
郵,"postal, mail; post office",yóu,light-grey,
剛纔,Just now,gāng cái,teal,
電子郵件,e-mail,diàn zǐ yóu jiàn,brown,
回,"return, turn around; a time",húi,dark-red,
主要,main,zhǔ yào,lime,
短信,Short message,duǎn xìn,dark-blue,
關於,about,guān yú,dark-red,
主,"master, chief owner; host; lord",zhǔ,hot-pink,
登錄,Log in,dēng lù,pink,
同意,agree,tóng yì,hot-pink,
決定,Decide,jué dìng,lime,
根據,according to,gēn jù,purple,
升職,promotion,shēng zhí,brown,
定,"decide, settle, fix",dìng,brown,
根,"root, base(d on); foundation",gēn,cyan,
據,"to occupy, take possession of; a base, position",jù,purple,
升,"arise, go up; hoist; advance",shēng,dark-blue,
職,"duty, profession; office, post",zhí,yellow,
滿意,satisfy,mǎn yì,pink,
餅,"rice-cakes, biscuits",bǐng,red,
月亮,moon,yuè liàng,yellow,
月餅,moon cake,yuè bǐng,yellow,
中鞦節,Mid-Autumn Festival,zhōng qīu jié,pink,
圓,"circle; round, circular; complete",yuán,white,
恭喜,Congratulations,gōng xǐ,cyan,
紅包,Red envelope,hóng bāo,teal,
湯圓,sweet dumpling,tāng yuán,green,
聚會,reunion,jù hùi,dark-red,
珠,"precious stone, gem, jewel, pearl",zhū,light-blue,
湯,"hot water; soup, gravy, broth",tāng,pink,
酸,"tart, sour; acid; stiff; spoiled",suān,brown,
珍,"precious, valuable, rare",zhēn,teal,
珍珠奶茶,Pearl milk tea,zhēn zhū nǎi chá,purple,
酸辣湯,Hot and Sour Soup,suān là tāng,green,
北京烤鴨,Peking Duck,běi jīng kǎo yā,purple,
春捲,Spring rolls,chūn juǎn,hot-pink,
豆花,Tofu Pudding,dòu huā,yellow,
烤,"bake, roast, toast, cook",kǎo,green,
豪,"brave, heroic, chivalrous",háo,blue,
宅,"residence, dwelling, home; grave",zhái,brown,
土,"soil, earth; items made of earth",tǔ,dark-blue,
土豪,Local tycoon,tǔ háo,yellow,
吃貨,Foodie,chī huò,yellow,
宅男,otaku,zhái nán,dark-grey,
菜鳥,rookie,cài niǎo,hot-pink,
美圖,Beautiful Pictures,měi tú,pink,
萌,"bud, sprout",méng,teal,
自拍,Selfie,zì pāi,light-grey,
銷,"melt, fuse; market, sell",xiāo,hot-pink,
收據,Receipt,shōu jù,white,
報銷,to reimburse,bào xiāo,red,
費用,cost,fèi yòng,orange,
盡快,ASAP,jìn kuài,cyan,
回復,reply,húi fù,grey,
報告,Report,bào gào,dark-grey,
協議,protocol,xié yì,orange,
盡,"exhaust, use up; deplete",jìn,cyan,
險,"narrow pass, strategic point",xiǎn,teal,
投,"throw, cast, fling, pitch; jump",tóu,green,
保險,Insurance,bǎo xiǎn,light-blue,
風險,risk,fēng xiǎn,green,
投資,invest,tóu zī,brown,
律師,lawyer,lv̀ shī,light-blue,
版權,copyright,bǎn quán,grey,
諮詢,consult,zī xún,dark-red,
律,"statute, principle, regulation",lv̀,lime,
版,printing blocks; edition,bǎn,purple,
傷,"wound, injury; fall ill from",shāng,yellow,
受,"receive, accept, get; bear, stand",shòu,yellow,
救,"save, rescue, relieve; help, aid",jìu,orange,
警,"guard, watch; alert, alarm",jǐng,dark-blue,
報警,Call the police,bào jǐng,cyan,
救護車,ambulance,jìu hù chē,dark-blue,
受傷,Injuried,shòu shāng,white,
救命,Help,jìu mìng,red,
發生,occur,fā shēng,dark-grey,
奬,"prize, reward; give award to",jiǎng,light-blue,
工資,salary,gōng zī,teal,
加班,work overtime,jiā bān,white,
奬金,bonus,jiǎng jīn,cyan,
生意,Business,shēng yì,red,
壓力,pressure,yā lì,black,
責任,responsibility,zé rèn,pink,
商量,discuss,shāng liàng,light-grey,
意見,Opinion,yì jiàn,cyan,
壓,press; oppress; crush; pressure,yā,lime,
乾燥,dry,gān zào,blue,
暖和,warm,nuǎn hé,dark-blue,
涼快,cool,liáng kuài,red,
燥,"dry, parched, arid; quick-tempered",zào,dark-red,
暖,"warm, genial",nuǎn,black,
和,"harmony, peace; peaceful, calm",hé,dark-red,
涼,"cool, cold; disheartened",liáng,orange,
溫度,temperature,wēn dù,dark-red,
度,"degree, system; manner; to consider",dù,blue,
大約,About,dà yuē,dark-red,
鷹,falcon; Accipiter species (various),yīng,red,
羽,"feather, plume; wings; rad. 124",yǔ,brown,
橙,orange,chéng,dark-red,
貓頭鷹,owl,māo tóu yīng,red,
羽毛,feather,yǔ máo,grey,
多兒,Duoer,duō ér,teal,
鼓勵,encourage,gǔ lì,blue,
提醒,remind,tí xǐng,dark-grey,
懶,"lazy, languid, listless",lǎn,pink,
